"YEAR","MONTH","UNIQUE_CARRIER","CARRIER","SDOM_GALLONS","NDOM_GALLONS","TDOMT_GALLONS","SDOM_COST","TS_COST","NDOM_COST","TDOMT_COST","TOTAL_COST"
2007,4,"XP","XP",0,408600,408600,0,0,1046016,1046016,1241856
2007,4,"YV","YV",13423662,0,13423662,31298295,31298295,0,31298295,31298295
2007,4,"YX","YX",8390942,217509,8608451,16373681,16373681,444846,16818527,16818527
2007,4,"ZW","ZW",6923556,0,6923556,15227864,15227864,0,15227864,15227864
2007,5,"16","16",5277737,0,5277737,12025579,12025579,0,12025579,12025579
2007,5,"3Z","3Z",0,0,283285,0,918888,0,1022910,1022910
2007,5,"5X","5X",0,36417000,36417000,0,51134000,77438000,77438000,128572000
2007,5,"5Y","5Y",632375,2223236,2855611,1486142,7362098,5152821,6638963,60093663
2007,5,"8C","8C",0,3669902,3669902,0,0,8413084,8413084,11482362
2007,5,"9S","9S",0,0,0,0,0,0,0,61073
2007,5,"AA","AA",155957717,180445,156138162,314217826,490191065,368409,314586235,490620299
2007,5,"ABX","ABX",9514140,1714351,11228491,21312356,21312356,2718321,24030677,24030677
2007,5,"AJQ","AJQ",0,118113,118113,0,0,299514,299514,299514
2007,5,"AQ","AQ",4202504,0,4202504,8932312,8932312,0,8932312,8932312
2007,5,"AS","AS",27114150,0,28841222,56237200,62174090,0,59784944,62224212
2007,5,"AX","AX",4293795,0,4293795,9574011,9574011,0,9574011,9574011
2007,5,"B6","B6",37579406,0,37579406,75468537,75468537,0,75468537,75468537
2007,5,"CO","CO",70162000,113000,70275000,144254000,265130000,234000,144488000,265371000
2007,5,"CS","CS",0,0,0,0,9627000,0,0,9716000
2007,5,"DL","DL",96132176,301866,96434042,214096374,356749342,672287,214768661,357432408
2007,5,"E0","E0",0,0,0,0,2121997,0,0,2154698
2007,5,"E9","E9",48429,58748,107177,112344,112344,136282,248626,248626
2007,5,"ER","ER",0,15407,15407,0,0,28833,28833,330419
2007,5,"EV","EV",14958307,0,14958307,37313785,37690692,0,37313785,37690692
2007,5,"EZ","EZ",0,0,0,0,0,0,0,16666307
2007,5,"F2","F2",0,0,0,0,0,0,0,2367582
2007,5,"F9","F9",17318553,35891,17354444,36681818,36681818,82934,36764752,36764752
2007,5,"FL","FL",30316382,0,30316382,63222500,63252124,0,63222500,63252124
2007,5,"FX","FX",68121353,1540414,69661767,140307000,204661000,3190000,143497000,209757000
2007,5,"G4","G4",4308591,556238,4864829,10030753,10030753,1360255,11391008,11391008
2007,5,"G7","G7",1489775,0,1489775,1880786,1880786,0,1880786,1880786
2007,5,"GFQ","GFQ",0,390537,390537,0,0,1014761,1014761,1046339
2007,5,"GL","GL",0,281228,281228,0,0,716006,716006,2351597
2007,5,"GR","GR",0,31395,31395,0,0,68979,68979,11887444
2007,5,"HA","HA",10011557,142080,10153637,20738631,22278722,296101,21034732,22574823
2007,5,"HP","HP",35737187,52517,35789704,75043499,78000091,135221,75178720,78179165
2007,5,"JW","JW",175352,0,175352,406614,8132274,0,406614,8132274
2007,5,"KAQ","KAQ",0,2892024,2892024,0,1142625,6284747,6284747,18052935
2007,5,"KR","KR",1831095,0,1831095,4152687,4152687,0,4152687,4152687
2007,5,"L2","L2",0,73217,351893,0,301676,155092,950364,1818937
2007,5,"M6","M6",0,29821,29821,0,3914343,70166,70166,4076597
2007,5,"MG","MG",0,1252680,1252680,0,0,2931195,2931195,5279232
2007,5,"MQ","MQ",24827231,0,24827231,54688226,55756156,0,54688226,55756156
